date,time,temperature
2023-09-18,19:42,18.69
2023-09-18,20:41,17.37
2023-09-18,21:41,16.56
2023-09-18,22:41,15.75
2023-09-18,23:41,14.87
2023-09-19,00:40,14.31
2023-09-19,01:40,13.31
2023-09-19,02:40,12.5
2023-09-19,03:40,11.75
2023-09-19,04:40,11.56
2023-09-19,05:39,10.94
2023-09-19,06:39,10.06
2023-09-19,07:39,10.69
2023-09-19,08:39,12.44
2023-09-19,09:39,15
2023-09-19,10:38,18.12
2023-09-19,11:38,22.75
2023-09-19,12:38,23.5
2023-09-19,13:38,24.37
2023-09-19,14:38,24.81
2023-09-19,15:38,24.12
2023-09-19,16:37,23.12
2023-09-19,17:37,21.87
2023-09-19,18:37,20.31
2023-09-19,19:37,18.87
2023-09-19,20:37,18.31
2023-09-19,21:36,17.5
2023-09-19,22:36,15.94
2023-09-19,23:36,15.63
2023-09-20,00:36,15.13
2023-09-20,01:36,14.5
2023-09-20,02:35,14.31
2023-09-20,03:35,13.81
2023-09-20,04:35,13.69
2023-09-20,05:35,13.25
2023-09-20,06:34,13.13
2023-09-20,07:34,13.75
2023-09-20,08:34,14.31
2023-09-20,09:34,14.94
2023-09-20,10:34,16.06
2023-09-20,11:33,17.87
2023-09-20,12:33,18.37
2023-09-20,13:08,18.19
2023-09-20,14:23,17.94
2023-09-20,15:23,19.94
2023-09-20,16:23,18.94
2023-09-20,17:23,19.31
2023-09-20,18:23,17.06
2023-09-20,19:22,15.81
2023-09-20,20:22,14.75
2023-09-20,21:22,14.06
2023-09-20,22:21,13.25
2023-09-20,23:21,13.81
2023-09-21,00:21,13
2023-09-21,01:21,12.5
2023-09-21,02:20,12.31
2023-09-21,03:20,11.5
2023-09-21,04:20,11.25
2023-09-21,05:20,11.12
2023-09-21,06:20,11.38
2023-09-21,07:19,11.63
2023-09-21,08:19,13.44
2023-09-21,09:19,14.5
2023-09-21,10:19,16.12
2023-09-21,11:19,17.25
2023-09-21,12:18,18.62
2023-09-21,13:18,18.69
2023-09-21,14:18,19.69
2023-09-21,15:18,19.69
2023-09-21,16:12,19.87
2023-09-21,17:12,19.44
2023-09-21,18:12,18.56
2023-09-21,19:12,17.37
2023-09-21,20:12,16.31
2023-09-21,21:11,16.12
2023-09-21,22:11,15.13
2023-09-21,23:11,14.81
2023-09-22,00:11,13.88
2023-09-22,01:10,13.56
2023-09-22,02:10,12.44
2023-09-22,03:10,11.94
2023-09-22,04:10,11
2023-09-22,05:10,10.19
2023-09-22,06:09,9.56
2023-09-22,07:09,8.25
2023-09-22,08:09,8.69
2023-09-22,09:09,9.44
2023-09-22,10:09,13.25
2023-09-22,11:08,17.31
2023-09-22,13:08,20.5
2023-09-22,14:08,19.25
2023-09-22,15:08,20.56
2023-09-22,16:28,21
2023-09-22,17:28,20.06
2023-09-22,18:28,18.87
2023-09-22,19:28,17.19
2023-09-22,20:28,15.69
2023-09-22,21:27,14.44
2023-09-22,22:27,14.19
2023-09-22,23:27,14.19
2023-09-23,00:27,14.31
2023-09-23,01:26,14.25
2023-09-23,02:26,14
2023-09-23,03:26,14.63
2023-09-23,04:26,12.63
2023-09-23,05:26,12.81
2023-09-23,06:25,12.13
2023-09-23,07:25,11.19
2023-09-23,08:25,10.63
2023-09-23,09:25,10.56
2023-09-23,10:25,11.5
2023-09-23,11:24,14.19
2023-09-23,12:24,15.06
2023-09-23,13:24,15.44
2023-09-23,14:24,15.25
2023-09-23,15:24,16.37
2023-09-23,16:23,15.75
2023-09-23,17:23,14.31
2023-09-23,18:23,13.19
2023-09-23,19:23,12.25
2023-09-23,20:23,11.63
2023-09-23,21:22,10.94
2023-09-23,22:22,10.13
2023-09-23,23:22,9.75
2023-09-24,00:22,9.5
2023-09-24,01:21,7.5
2023-09-24,02:21,6.44
2023-09-24,03:21,6.06
2023-09-24,04:21,5.81
2023-09-24,05:21,4.5
2023-09-24,06:20,5.06
2023-09-24,07:20,4.69
2023-09-24,08:20,5.75
2023-09-24,09:20,7.06
2023-09-24,10:19,9.75
2023-09-24,11:19,11.63
2023-09-24,12:19,13.25
2023-09-24,13:19,14.06
2023-09-24,14:19,15.31
2023-09-24,15:19,16.19
2023-09-24,16:18,17.31
2023-09-24,17:18,16.81
2023-09-24,18:18,16
2023-09-24,19:18,15.75
2023-09-24,20:18,14.81
2023-09-24,21:17,14.13
2023-09-24,22:17,13.75
2023-09-24,23:17,13.69
2023-09-25,00:17,13.69
2023-09-25,01:17,13
2023-09-25,02:16,11.94
2023-09-25,03:16,11.56
2023-09-25,04:16,11.31
2023-09-25,05:16,11.44
2023-09-25,06:16,11.06
2023-09-25,07:15,11.19
2023-09-25,08:15,11.31
2023-09-25,09:15,12.5
2023-09-25,10:15,13.69
2023-09-25,11:15,14.87
2023-09-25,12:14,16.44
2023-09-25,13:14,18.44
2023-09-25,14:14,19.62
2023-09-25,15:14,21.06
2023-09-25,16:14,21.87
2023-09-25,17:14,21.62
2023-09-25,18:13,20.44
2023-09-25,19:13,19.5
2023-09-25,20:13,18.19
2023-09-25,21:13,16.75
2023-09-25,22:12,15.06
2023-09-25,23:12,14.56
2023-09-26,00:12,13.69
2023-09-26,01:12,13.19
2023-09-26,02:12,12.56
2023-09-26,03:11,12.06
2023-09-26,04:11,11.44
2023-09-26,05:11,10.88
2023-09-26,06:11,10.19
2023-09-26,07:10,9.81
2023-09-26,08:10,9.94
2023-09-26,09:10,11.56
2023-09-26,10:10,14.5
2023-09-26,11:10,19.56
2023-09-26,12:10,22.94
2023-09-26,13:10,23.44
2023-09-26,14:09,22.69
2023-09-26,15:09,22.37
2023-09-26,16:09,24.31
2023-09-26,17:09,23.38
2023-09-26,18:09,21.81
2023-09-26,19:08,20.81
2023-09-26,20:08,19.31
2023-09-26,21:08,18.06
2023-09-26,22:08,17.25
2023-09-26,23:07,16.5
2023-09-27,00:07,16
2023-09-27,01:07,15.31
2023-09-27,02:07,14.75
2023-09-27,03:06,14.69
2023-09-27,04:06,14.56
2023-09-27,05:06,14.56
2023-09-27,06:06,13.69
2023-09-27,07:06,12.44
2023-09-27,08:05,12.5
2023-09-27,09:05,14
2023-09-27,10:05,16
2023-09-27,11:05,15.31
2023-09-27,12:05,14.31
2023-09-27,13:04,14.56
2023-09-27,14:04,15.19
2023-09-27,15:04,15.81
2023-09-27,16:04,14.81
2023-09-27,17:22,14.63
2023-09-27,18:22,13.81
2023-09-27,19:22,12.75
2023-09-27,20:22,12.44
2023-09-27,21:21,12
2023-09-27,22:21,11.75
2023-09-27,23:21,11.88
2023-09-28,00:21,11.94
2023-09-28,01:21,11.63
2023-09-28,02:20,10.63
2023-09-28,03:20,10.94
2023-09-28,04:20,10.88
2023-09-28,05:20,10.75
2023-09-28,06:19,9.81
2023-09-28,07:19,9.31
2023-09-28,08:19,9.38
2023-09-28,09:19,11.06
2023-09-28,10:19,12.69
2023-09-28,11:19,14.69
2023-09-28,12:18,16.75
2023-09-28,13:18,17.44
2023-09-28,14:18,16.87
2023-09-28,15:18,17.12
2023-09-28,16:18,17.44
2023-09-28,17:18,16.5
2023-09-28,18:17,15.56
2023-09-28,19:17,14.75
2023-09-28,20:17,13.81
2023-09-28,21:17,12.94
2023-09-28,22:16,11.88
2023-09-28,23:16,10.56
2023-09-29,00:16,9.63
2023-09-29,01:16,8.88
2023-09-29,02:16,8.19
2023-09-29,03:15,7.81
2023-09-29,04:15,7.19
2023-09-29,05:15,6.56
2023-09-29,06:15,6
2023-09-29,07:14,5.5
2023-09-29,08:14,5.94
2023-09-29,09:14,7.81
2023-09-29,10:14,10.69
2023-09-29,11:14,14.5
2023-09-29,12:14,16.75
2023-09-29,13:13,16.31
2023-09-29,14:13,16.62
2023-09-29,15:13,17.19
2023-09-29,16:13,16.06
2023-09-29,17:13,15.38
2023-09-29,18:12,15
2023-09-29,19:12,14.38
2023-09-29,20:12,13.75
2023-09-29,21:12,13.62
2023-09-29,22:11,12.94
2023-09-29,23:11,12.81
2023-09-30,00:11,12.13
2023-09-30,01:11,12.31
2023-09-30,02:11,11.25
2023-09-30,03:10,10.69
2023-09-30,04:10,10.31
2023-09-30,05:10,10.81
2023-09-30,06:10,10.63
2023-09-30,07:09,10.56
2023-09-30,08:09,10.75
2023-09-30,09:09,10.81
2023-09-30,10:09,12.75
2023-09-30,11:09,14.69
2023-09-30,12:09,16.5
2023-09-30,13:08,15.13
2023-09-30,14:08,15.69
2023-09-30,15:08,13.38
2023-09-30,16:08,11.5
2023-09-30,17:07,10.75
2023-09-30,18:07,11.56
2023-09-30,19:07,11.38
2023-09-30,20:07,11.19
2023-09-30,21:07,10.38
2023-09-30,22:06,9.94
2023-09-30,23:06,9.94
2023-10-01,00:06,9.81
2023-10-01,01:06,9.13
2023-10-01,02:05,8.69
2023-10-01,03:05,7.75
2023-10-01,04:05,7.56
2023-10-01,05:05,7.12
2023-10-01,06:05,7.37
2023-10-01,07:04,7.5
2023-10-01,08:04,7.87
2023-10-01,09:04,9
2023-10-01,10:04,10.38
2023-10-01,11:04,13.62
2023-10-01,12:04,16
2023-10-01,13:03,16.81
2023-10-01,14:03,17
2023-10-01,15:03,17.37
2023-10-01,16:03,17.19
2023-10-01,17:02,17.12
2023-10-01,18:02,16.06
2023-10-01,19:02,14.94
2023-10-01,20:02,14.25
2023-10-01,21:02,13.81
